Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B00271,UTOG 2-WAY RADIO INC,UTOG CORPORATE CAR SERVICE,2018,3,March,10889,0,181
B01801,SHUTTLEUP LLC,HENRY LIMOUSINE,2016,6,June,1002,0,23
B00039,BERMUDA LIMOUSINE SERVICE INC.,,2016,4,April,1495,0,51
B02925,SIGNATURE BLACK CAR LLC,,2018,3,March,298,0,8
B01341,A NEW DAY RAD DISP INC,,2021,12,December,78,0,5
B02509,NY MINUTE CAR SERVICE INC.,,2022,4,April,2936,0,23
B01629,BBA MANAGEMENT INC.,UNITED CAR & LIMO SERVICE,2016,10,October,365,0,3
B03055,EXPLORER EXPRESS INC,,2021,11,November,1311,0,10
B00860,SEAMAN RADIO DISPATCHERS INC,,2020,12,December,5978,0,47
B02784,SMILE TRANSPORTATION GROUP INC,,2020,11,November,5266,0,34
B02921,"GRAVITAS PRIMO,LLC",,2020,11,November,2,0,1
B00937,RIVERSIDE RADIO DISPATCHER,,2019,1,January,33374,0,178
B01190,NEW BELL CAR SERVICE CORP,,2019,5,May,4256,0,19
B02963,GULF LUXURY INC,,2018,5,May,293,0,5
B02756,ALLY CAR SERVICE LLC,ACTIVE EXPRESS CAR & LIMO 2,2016,6,June,249,0,3
B00937,RIVERSIDE RADIO DISPATCHER,,2017,10,October,43604,0,240
B01768,NEW SUPERIOR RADIO GRP CORP,,2016,8,August,9290,0,62
B02874,"CAPSTAR CHAUFFEURS,INC.",,2016,7,July,144,0,9
B02699,PRESIDENTIAL LUXURY LIMO INC.,,2019,6,June,1112,0,56
B01482,SHORE TRANSPORTATION INC,SEASIDE CAR SERVICE,2016,3,March,5923,0,24
B02921,"GRAVITAS PRIMO,LLC",,2016,10,October,5,0,4
B02120,HARRISON GLOBAL LLC,BOSTON COACH,2021,9,September,1656,0,43
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2020,6,June,2374,0,11
B01273,PUERTO RICO CAR SERVICE INC.,,2021,1,January,280,0,1
B01485,FLAMINGO TRANSP. & LIMO. SERVICES INC.,,2018,11,November,8967,0,57
B01280,BENSONHURST RIDE INC.,,2019,9,September,2947,0,17
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2018,3,March,16688,0,85
B02173,ADMIRE LLP LLC,,2017,4,April,241,0,12
B02505,TRELAWNY CAR SERVICE INC,,2018,10,October,2411,0,13
B01259,THE NEW BROOKLYN C/S INC,,2019,9,September,3371,0,54
B00083,PAGE-A-RIDE INC,,2015,5,May,586,0,20
B01751,CONCORDE EXP OF N.Y. INC,,2017,11,November,1875,0,7
B02138,"GUADALUPANA CAR LIMO, INC",,2017,5,May,4726,0,18
B02629,CARLUX LIMO INC.,,2020,7,July,60,0,6
B02913,DAT TRANSPORTATION INC.,,2017,5,May,214,0,11
B00639,ROCAPULCO CAR SERVICE INC.,,2017,7,July,3733,0,11
B02723,CHARLIE BLACK CAR INC.,,2016,2,February,6041,0,112
B02315,LA MORENITA CAR LIMO SERVICE INC,,2017,4,April,4920,0,23
B03048,ATLANTIS TRANSPORTATION SERVICES INC,,2020,2,February,2470,0,8
B02699,PRESIDENTIAL LUXURY LIMO INC.,,2019,5,May,1530,0,63
B02546,X RADIO DISPATCHER INC.,,2016,3,March,693,0,4
B02229,NEW FAT INC.,ELEGANTE,2017,12,December,4975,0,55
B03187,A & J CAR SERVICE CORP,,2022,3,March,1844,0,17
B02397,CHICO EXPRESS CORP. 2,,2016,12,December,1406,0,10
B02881,DIANE CAR AND LIMO SERVICE LLC,,2020,5,May,1139,0,15
B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,,2017,2,February,51,0,17
B02573,SUNSET PARK CAR SERVICE INC,,2016,8,August,3647,0,16
